parent_name,rank,attributed_co2e,quadrant,pqs_composite,eps_score,scvs_score,cccs_composite,cccs_partial_composite,cccs_rank,cccs_partial_rank,pct_per_yr,parent_intercept
Vistra Corp,1,85937204.172,Credible Leader,64.0,50.0,83.33333333333334,64.43940149772543,64.5497224367903,6.0,11.0,-1.4055885446727303,-0.0776292169850734
THE SOUTHERN CO,2,75861755.6183456,Quiet Achiever,48.0,54.0,33.33333333333333,43.486779820661745,42.42640687119284,12.0,24.0,-1.6234161215885647,-0.0309397011896095
DUKE ENERGY CORP,3,72061601.2416672,Credible Leader,56.0,72.0,6.25,25.758621104534676,21.213203435596427,19.0,40.0,-2.858175479887755,0.0056613660709644
BERKSHIRE HATHAWAY INC,4,49384249.6993898,Quiet Achiever,0.0,68.0,85.41666666666666,32.03469642795201,76.21242243449122,16.0,6.0,-2.4731677881560152,0.0890462501227927
AMERICAN ELECTRIC POWER CO INC,5,48784620.2728486,Credible Leader,50.0,90.0,89.58333333333334,79.86967034507803,89.79142498033985,1.0,2.0,-5.499859670010058,0.1146738151884243
CPN MANAGEMENT LP,6,47673630.70474,Talk-NA,,12.0,100.0,,34.64101615137755,,31.0,1.214785478739413,-0.2944945704648787
NEXTERA ENERGY INC,7,42308580.718371,Greenwasher,74.0,34.0,97.91666666666666,60.64298343218215,57.6989312437125,7.0,14.0,-0.2538347676388725,-0.1943464732330466
US GOVERNMENT,8,38026818.263,Talk-NA,,92.0,70.83333333333334,,80.7258735887489,,4.0,-5.970283269399525,-0.0674886908387362
ENTERGY CORP,9,37833221.1539876,Greenwasher,53.0,22.0,72.91666666666666,42.359904179602204,40.052049468993054,13.0,25.0,0.5241451602730257,-0.0735002010570775
XCEL ENERGY INC,10,35249025.4066756,Credible Leader,66.0,78.0,12.5,36.26691658296619,31.224989991991993,15.0,36.0,-3.447654870043152,-0.0088833545690051
DOMINION ENERGY INC,11,28231416.741,Quiet Achiever,28.0,56.00000000000001,62.5,50.93998632132471,59.16079783099615,9.0,13.0,-1.8281070135618367,-0.0589031003861423
PPL CORP,12,26771409.22,Quiet Achiever,46.0,60.0,54.166666666666664,54.614116289034286,57.008771254956876,8.0,15.0,-1.96893196506691,0.0509017948960092
EVERGY INC,13,22924449.75078,Quiet Achiever,24.0,86.0,95.83333333333334,69.57420725212991,90.78362554264216,4.0,1.0,-4.683976736462765,0.1832275961125982
DTE ENERGY CO,14,21935698.012,Credible Leader,73.0,74.0,75.0,74.19621743625507,74.49832212875667,3.0,7.0,-3.068727214650931,0.0754612481642225
NRG ENERGY INC,15,21733149.53004,Credible Leader,63.0,96.0,68.75,77.21215682687968,81.24038404635961,2.0,3.0,-7.67559612299589,0.0672401485621
AMEREN CORP,16,19669522.87,Credible Leader,66.0,76.0,25.0,47.35984010776412,43.58898943540674,10.0,22.0,-3.1495004770497816,0.0215954521783234
LIGHTSTONE GENERATION LLC,17,19136181.374,Talk-NA,,36.0,41.66666666666667,,38.72983346207417,,27.0,-0.3290683096967324,-0.0378323385730597
BASIN ELECTRIC POWER COOPERATIVE,18,18201329.5304914,Talk-NA,,30.0,52.083333333333336,,39.52847075210474,,26.0,-0.1864986998958466,0.048821062554734
WEC Energy Group Inc,19,16948663.51912,Laggard,46.0,18.0,22.916666666666664,23.917795455599954,20.3100960115899,21.0,42.0,0.7127598584602355,0.0207181811063313
CMS ENERGY CORP,20,16594386.4522564,Greenwasher,52.0,20.0,31.25,28.94360853382896,25.000000000000007,17.0,38.0,0.6600927440498772,0.0288166200602966
