parent_name,rank,attributed_co2e,pqs_composite,eps_score,scvs_score
Vistra Corp,1,85937204.172,64.0,50.0,83.33333333333334
THE SOUTHERN CO,2,75861755.6183456,48.0,54.0,33.33333333333333
DUKE ENERGY CORP,3,72061601.2416672,56.0,72.0,6.25
BERKSHIRE HATHAWAY INC,4,49384249.6993898,0.0,68.0,85.41666666666666
AMERICAN ELECTRIC POWER CO INC,5,48784620.2728486,50.0,90.0,89.58333333333334
CPN MANAGEMENT LP,6,47673630.70474,,12.0,100.0
NEXTERA ENERGY INC,7,42308580.718371,74.0,34.0,97.91666666666666
US GOVERNMENT,8,38026818.263,,92.0,70.83333333333334
ENTERGY CORP,9,37833221.1539876,53.0,22.0,72.91666666666666
XCEL ENERGY INC,10,35249025.4066756,66.0,78.0,12.5
DOMINION ENERGY INC,11,28231416.741,28.0,56.00000000000001,62.5
PPL CORP,12,26771409.22,46.0,60.0,54.166666666666664
EVERGY INC,13,22924449.75078,24.0,86.0,95.83333333333334
DTE ENERGY CO,14,21935698.012,73.0,74.0,75.0
NRG ENERGY INC,15,21733149.53004,63.0,96.0,68.75
AMEREN CORP,16,19669522.87,66.0,76.0,25.0
LIGHTSTONE GENERATION LLC,17,19136181.374,,36.0,41.66666666666667
BASIN ELECTRIC POWER COOPERATIVE,18,18201329.5304914,,30.0,52.083333333333336
WEC Energy Group Inc,19,16948663.51912,46.0,18.0,22.916666666666664
CMS ENERGY CORP,20,16594386.4522564,52.0,20.0,31.25
SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,21,15877678.105612,,44.0,8.333333333333332
ASSOCIATED ELECTRIC COOPERATIVE INC,22,15571682.052,,24.0,47.91666666666667
FIRSTENERGY CORP,23,15258135.972,30.0,42.0,64.58333333333334
SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,24,14096572.936,,82.0,58.333333333333336
ALLIANT ENERGY CORP,25,12978130.6224172,49.0,64.0,81.25
AES CORP,26,12393435.468,48.0,70.0,18.75
PRAIRIE STATE ENERGY CAMPUS MANAGEMENT CO,27,11456294.642,,2.0,43.75
"LS Power Development, LLC",28,10829542.342,,4.0,91.66666666666666
CPS ENERGY,29,10609733.430165552,,28.000000000000004,35.41666666666667
PINNACLE WEST CAPITAL CORP,30,10537824.43364,0.0,88.0,27.083333333333332
TALEN ENERGY CORP,31,10478774.8311292,0.0,100.0,4.166666666666666
ARCLIGHT ENERGY PARTNERS FUND VII LP,32,10185496.837,,10.0,93.75
OGLETHORPE POWER CORP,33,10016297.398,,62.0,29.166666666666668
BUCKEYE POWER INC,34,9421839.57,,8.0,10.416666666666668
CONSTELLATION ENERGY CORP,35,8929938.686,56.0,6.0,87.5
CLECO CORPORATE HOLDINGS LLC,36,8612058.1581472,,26.0,50.0
LOWER COLORADO RIVER AUTHORITY,37,8428181.7420778,,14.000000000000002,16.666666666666664
NEBRASKA PUBLIC POWER DISTRICT,38,8312557.063999999,,66.0,45.83333333333333
TRI-STATE GENERATION & TRANSMISSION ASSOC INC,39,8262405.5084358,,57.99999999999999,79.16666666666666
EAST KENTUCKY POWER COOPERATIVE INC,40,8158933.61,,52.0,60.416666666666664
OGE ENERGY CORP,41,7771285.9518,4.0,98.0,14.583333333333334
OMAHA PUBLIC POWER DISTRICT,42,7767449.699999999,,80.0,77.08333333333334
REMC ASSETS LP,43,7716347.05,,46.0,56.25
TECO ENERGY INC,44,7516202.62,,94.0,39.58333333333333
PUGET HOLDINGS LLC,45,7340460.139574,,16.0,66.66666666666666
UNS ENERGY CORP,46,7295955.46295952,0.0,38.0,2.083333333333333
SEMINOLE ELECTRIC COOPERATIVE INC,47,6972461.42,,48.0,20.833333333333336
ARKANSAS ELECTRIC COOPERATIVE CORP,48,6779310.196795,,84.0,37.5
MARATHON PETROLEUM CORP,49,6633324.474,54.0,40.0,
EXXON MOBIL CORP,50,5979836.674,58.0,32.0,
