parent_name,rank,pqs_composite,eps_score,scvs_score,cccs_default,cccs_equal,cccs_action_heavy,cccs_talk_heavy,cccs_walk_heavy,cccs_verify_heavy,rank_default,rank_equal,rank_action_heavy,rank_talk_heavy,rank_walk_heavy,rank_verify_heavy,min_rank,max_rank,rank_range,always_top_quartile,always_bottom_quartile
Vistra Corp,1,64.0,50.0,83.33333333333334,64.43940149772543,64.3659606360479,64.49453837861827,64.32926910648288,58.181075915268806,71.37091227794414,6.0,4.0,6.0,4.0,7.0,5.0,4,7,3,False,False
THE SOUTHERN CO,2,48.0,54.0,33.33333333333333,43.486779820661745,44.20837673543271,42.95332134060616,44.57365491525403,47.89169989671551,39.48700971669639,12.0,11.0,13.0,11.0,13.0,13.0,11,13,2,False,False
DUKE ENERGY CORP,3,56.0,72.0,6.25,25.758621104534676,29.317939646130032,23.375689716261675,31.27799925274812,41.99650087473273,15.799091528746363,19.0,18.0,21.0,18.0,15.0,22.0,15,22,7,False,False
BERKSHIRE HATHAWAY INC,4,0.0,68.0,85.41666666666666,32.03469642795201,17.97562136872274,49.410948348799835,13.465282200065676,30.606514285928473,33.529521383715746,16.0,20.0,10.0,21.0,18.0,15.0,10,21,11,False,False
AMERICAN ELECTRIC POWER CO INC,5,50.0,90.0,89.58333333333334,79.86967034507803,73.87201051663699,84.68536776205526,71.04424773777866,79.94382986968004,79.79557961421656,1.0,3.0,1.0,3.0,2.0,1.0,1,3,2,True,False
NEXTERA ENERGY INC,7,74.0,34.0,97.91666666666666,60.64298343218215,62.68867709893863,59.152644331991425,63.7372540580059,49.080052462909826,74.93006333550854,7.0,6.0,7.0,5.0,12.0,2.0,2,12,10,False,False
ENTERGY CORP,9,53.0,22.0,72.91666666666666,42.359904179602204,43.97189083319937,41.189816432016706,44.800740683550146,33.33298015918284,53.8314148190784,13.0,12.0,14.0,10.0,17.0,8.0,8,17,9,False,False
XCEL ENERGY INC,10,66.0,78.0,12.5,36.26691658296619,40.07277947967924,33.651658314911124,42.122967494085586,52.30552328720381,25.146278170542708,15.0,14.0,16.0,13.0,9.0,18.0,9,18,9,False,False
DOMINION ENERGY INC,11,28.0,56.00000000000001,62.5,50.93998632132471,46.10436432335109,54.89672332908041,43.86151474544869,49.8333893291863,52.0711563340722,9.0,10.0,9.0,12.0,11.0,10.0,9,12,3,False,False
PPL CORP,12,46.0,60.0,54.166666666666664,54.614116289034286,53.07382626217482,55.79859911156527,52.320048869196,55.742794717454004,53.50829130743643,8.0,8.0,8.0,8.0,8.0,9.0,8,9,1,False,False
EVERGY INC,13,24.0,86.0,95.83333333333334,69.57420725212991,58.26513861992324,79.4745165358276,53.319861217578854,68.08393335872071,71.097101415371,4.0,7.0,2.0,7.0,4.0,6.0,2,7,5,False,False
DTE ENERGY CO,14,73.0,74.0,75.0,74.19621743625507,73.99549532104565,74.34711633480755,73.89533783503907,73.99729709985402,74.39567251246135,3.0,2.0,4.0,1.0,3.0,3.0,1,4,3,True,False
NRG ENERGY INC,15,63.0,96.0,68.75,77.21215682687968,74.63825742852137,79.20066460367269,73.38366542502592,82.54397713251281,72.22473848440765,2.0,1.0,3.0,2.0,1.0,4.0,1,4,3,True,False
AMEREN CORP,16,66.0,76.0,25.0,47.35984010776412,50.05327307060586,45.43531192937807,51.45690423396379,59.1541126724918,37.91713464541605,10.0,9.0,12.0,9.0,6.0,14.0,6,14,8,False,False
WEC Energy Group Inc,19,46.0,18.0,22.916666666666664,23.917795455599954,26.67230742955692,22.04025231454494,28.166333587466696,22.790054248324,25.101341717867463,21.0,19.0,22.0,19.0,21.0,19.0,19,22,3,False,True
CMS ENERGY CORP,20,52.0,20.0,31.25,28.94360853382896,31.91252142734999,26.899632215807788,33.50929899838146,26.472116807053716,31.645843853949582,17.0,16.0,19.0,16.0,20.0,16.0,16,20,4,False,False
FIRSTENERGY CORP,23,30.0,42.0,64.58333333333334,46.64146141405575,43.33415687459149,49.28656049035307,41.76951436435221,42.795481441406054,50.83307511839442,11.0,13.0,11.0,14.0,14.0,11.0,11,14,3,False,False
ALLIANT ENERGY CORP,25,49.0,64.0,81.25,66.74835290864081,63.396675661377756,69.3778940246632,61.784485583873874,63.63731892938883,70.01147582851581,5.0,5.0,5.0,6.0,5.0,7.0,5,7,2,False,False
AES CORP,26,48.0,70.0,18.75,38.325512608351836,39.79056908497717,37.262227597074094,40.54397156099534,49.87780418521563,29.448868904463883,14.0,15.0,15.0,15.0,10.0,17.0,10,17,7,False,False
PINNACLE WEST CAPITAL CORP,30,0.0,88.0,27.083333333333332,22.432305704387524,13.35759566017051,33.09277253616605,10.307549666881235,28.394225447945757,17.722206937379326,22.0,22.0,17.0,22.0,19.0,20.0,17,22,5,False,False
TALEN ENERGY CORP,31,0.0,100.0,4.166666666666666,11.166459711038103,7.469007475003093,15.097496626204137,6.108528823797941,21.0842303171375,5.913890173021293,23.0,23.0,23.0,23.0,22.0,23.0,22,23,1,False,True
CONSTELLATION ENERGY CORP,35,56.0,6.0,87.5,27.39689383231332,30.86378289776309,25.054773975556504,32.758424153702066,16.02986874265128,46.82445026277257,18.0,17.0,20.0,17.0,23.0,12.0,12,23,11,False,False
OGE ENERGY CORP,41,4.0,98.0,14.583333333333334,24.12376835661824,17.880553058049067,30.199050919329352,15.393907054043432,35.31173073781171,16.480534586219473,20.0,21.0,18.0,20.0,16.0,21.0,16,21,5,False,False
UNS ENERGY CORP,46,0.0,38.0,2.083333333333333,5.746679064281239,4.29385546563685,7.15062596669229,3.7116131759995774,10.271217138098338,3.2152294926521794,24.0,24.0,24.0,24.0,24.0,24.0,24,24,0,False,True
