parent_name,year,fuel_category,attributed_co2
AES CORP,2011,Coal,15845700.7
AES CORP,2011,Natural Gas,1761357.75
AES CORP,2011,Oil,4032.6
AES CORP,2012,Coal,14775791.9
AES CORP,2012,Natural Gas,2166285.75
AES CORP,2012,Oil,1752.5
AES CORP,2013,Coal,16204388.399999999
AES CORP,2013,Natural Gas,1730694.25
AES CORP,2013,Oil,1050.4
AES CORP,2014,Coal,16913963.6
AES CORP,2014,Natural Gas,1613925.5
AES CORP,2014,Oil,1246.3
AES CORP,2015,Coal,13839348.7
AES CORP,2015,Natural Gas,1683844.65
AES CORP,2015,Oil,816.5
AES CORP,2016,Coal,11279702.0
AES CORP,2016,Natural Gas,2215611.95
AES CORP,2016,Oil,1179.8
AES CORP,2017,Coal,11065554.899999999
AES CORP,2017,Natural Gas,2000641.3
AES CORP,2017,Oil,638.4000000000001
AES CORP,2018,Coal,10419684.399999999
AES CORP,2018,Natural Gas,2969391.7
AES CORP,2018,Oil,552.0
AES CORP,2019,Coal,10224692.0
AES CORP,2019,Natural Gas,3503883.85
AES CORP,2019,Oil,682.8
AES CORP,2020,Coal,7636604.0
AES CORP,2020,Natural Gas,4422622.6
AES CORP,2020,Oil,660.2
AES CORP,2021,Coal,9725150.0
AES CORP,2021,Natural Gas,4826345.25
AES CORP,2021,Oil,396.5
AES CORP,2022,Coal,9362671.2
AES CORP,2022,Natural Gas,5955706.05
AES CORP,2022,Oil,527.5999999999999
AES CORP,2023,Coal,5614968.4
AES CORP,2023,Natural Gas,6725683.05
AES CORP,2023,Oil,533.9
ALLIANT ENERGY CORP,2011,Coal,16856948.00624
ALLIANT ENERGY CORP,2011,Natural Gas,514991.18789999996
ALLIANT ENERGY CORP,2011,Oil,16359.325
ALLIANT ENERGY CORP,2012,Coal,15359085.95458
ALLIANT ENERGY CORP,2012,Natural Gas,851600.96734
ALLIANT ENERGY CORP,2012,Oil,33126.3945
ALLIANT ENERGY CORP,2013,Coal,15111093.26908
ALLIANT ENERGY CORP,2013,Natural Gas,833789.6601
ALLIANT ENERGY CORP,2013,Oil,22716.7675
ALLIANT ENERGY CORP,2014,Coal,14166889.31942
ALLIANT ENERGY CORP,2014,Natural Gas,979093.7505
ALLIANT ENERGY CORP,2014,Oil,11300.8585
ALLIANT ENERGY CORP,2015,Coal,13452463.05556
ALLIANT ENERGY CORP,2015,Natural Gas,1650320.8674
ALLIANT ENERGY CORP,2015,Oil,2643.7245
ALLIANT ENERGY CORP,2016,Coal,12706456.015379999
ALLIANT ENERGY CORP,2016,Natural Gas,1623547.25346
ALLIANT ENERGY CORP,2016,Oil,4353.4325
ALLIANT ENERGY CORP,2017,Coal,14146472.70988
ALLIANT ENERGY CORP,2017,Natural Gas,2194674.07096
ALLIANT ENERGY CORP,2017,Oil,597.501
ALLIANT ENERGY CORP,2018,Coal,13364218.165620001
ALLIANT ENERGY CORP,2018,Natural Gas,3771243.8814
ALLIANT ENERGY CORP,2018,Oil,1471.8405
ALLIANT ENERGY CORP,2019,Coal,9479713.71942
ALLIANT ENERGY CORP,2019,Natural Gas,4106188.55394
ALLIANT ENERGY CORP,2019,Oil,23652.116
ALLIANT ENERGY CORP,2020,Coal,7991643.76814
