parent_name,year,facilities,attributed_co2e,n_reporting
AES CORP,2011,8,17740816.088,8
AES CORP,2012,8,17065391.810000002,8
AES CORP,2013,8,18064830.782,8
AES CORP,2014,8,18663763.266000003,8
AES CORP,2015,8,15637509.208,8
AES CORP,2016,8,13590085.582,8
AES CORP,2017,8,13158254.604,8
AES CORP,2018,8,13476811.686,8
AES CORP,2019,8,13815413.172,8
AES CORP,2020,8,12126068.901999999,8
AES CORP,2021,8,14635351.706,8
AES CORP,2022,8,15400588.138,8
AES CORP,2023,8,12393435.468,8
ALLIANT ENERGY CORP,2011,15,17520487.9296344,15
ALLIANT ENERGY CORP,2012,15,16364708.814824801,15
ALLIANT ENERGY CORP,2013,15,16052334.5641696,15
ALLIANT ENERGY CORP,2014,15,15237490.558534,15
ALLIANT ENERGY CORP,2015,15,15182035.2324648,14
ALLIANT ENERGY CORP,2016,15,14405632.152556801,14
ALLIANT ENERGY CORP,2017,15,16421158.7577348,14
ALLIANT ENERGY CORP,2018,15,17214639.6647324,15
ALLIANT ENERGY CORP,2019,15,13665677.3312916,15
ALLIANT ENERGY CORP,2020,15,12069420.8750532,15
ALLIANT ENERGY CORP,2021,15,14970951.8454048,15
ALLIANT ENERGY CORP,2022,15,12631885.1248636,15
ALLIANT ENERGY CORP,2023,15,12978130.6224172,15
AMEREN CORP,2011,11,37260492.019999996,11
AMEREN CORP,2012,11,30296483.711999997,11
AMEREN CORP,2013,11,29969822.632,11
AMEREN CORP,2014,11,30432530.624,11
AMEREN CORP,2015,11,28319298.842,11
AMEREN CORP,2016,11,26596742.244,11
AMEREN CORP,2017,11,29995757.76,11
AMEREN CORP,2018,11,29344947.722,11
AMEREN CORP,2019,11,24205850.4,11
AMEREN CORP,2020,11,25759240.166,11
AMEREN CORP,2021,11,27981534.718000002,11
AMEREN CORP,2022,11,24745347.054,11
AMEREN CORP,2023,11,19669522.87,11
AMERICAN ELECTRIC POWER CO INC,2011,24,98419361.5294544,22
AMERICAN ELECTRIC POWER CO INC,2012,24,88090039.63998841,24
AMERICAN ELECTRIC POWER CO INC,2013,24,83369519.4469114,24
AMERICAN ELECTRIC POWER CO INC,2014,24,89529719.0450986,24
AMERICAN ELECTRIC POWER CO INC,2015,24,75334188.21203001,24
AMERICAN ELECTRIC POWER CO INC,2016,24,71644802.8167364,24
AMERICAN ELECTRIC POWER CO INC,2017,24,71677440.5846184,24
AMERICAN ELECTRIC POWER CO INC,2018,24,71077788.6573382,24
AMERICAN ELECTRIC POWER CO INC,2019,24,62360977.072928,24
AMERICAN ELECTRIC POWER CO INC,2020,24,48970552.146195,24
