rank,parent_name,facilities,states,attributed_co2e
1,Vistra Corp,36,12,85937204.172
2,THE SOUTHERN CO,26,4,75861755.6183456
3,DUKE ENERGY CORP,36,6,72061601.2416672
4,BERKSHIRE HATHAWAY INC,34,11,49384249.6993898
5,AMERICAN ELECTRIC POWER CO INC,24,9,48784620.2728486
6,CPN MANAGEMENT LP,43,14,47673630.70474
7,NEXTERA ENERGY INC,19,5,42308580.718371
8,US GOVERNMENT,19,4,38026818.263
9,ENTERGY CORP,25,4,37833221.1539876
10,XCEL ENERGY INC,25,6,35249025.4066756
11,DOMINION ENERGY INC,24,4,28231416.741
12,PPL CORP,6,1,26771409.22
13,EVERGY INC,12,3,22924449.75078
14,DTE ENERGY CO,9,1,21935698.012
15,NRG ENERGY INC,13,5,21733149.53004
16,AMEREN CORP,11,2,19669522.87
17,LIGHTSTONE GENERATION LLC,4,2,19136181.373999998
18,BASIN ELECTRIC POWER COOPERATIVE,10,5,18201329.5304914
19,WEC Energy Group Inc,13,1,16948663.51912
20,CMS ENERGY CORP,9,2,16594386.4522564
21,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,12,3,15877678.105612
22,ASSOCIATED ELECTRIC COOPERATIVE INC,7,3,15571682.052000001
23,FIRSTENERGY CORP,2,1,15258135.972
24,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,4,1,14096572.935999999
25,ALLIANT ENERGY CORP,15,2,12978130.6224172
26,AES CORP,8,3,12393435.468
27,PRAIRIE STATE ENERGY CAMPUS MANAGEMENT CO,1,1,11456294.642
28,"LS Power Development, LLC",22,10,10829542.342
29,CPS ENERGY,5,1,10609733.430165553
30,PINNACLE WEST CAPITAL CORP,8,2,10537824.43364
31,TALEN ENERGY CORP,13,5,10478774.8311292
32,ARCLIGHT ENERGY PARTNERS FUND VII LP,14,5,10185496.837000001
33,OGLETHORPE POWER CORP,10,1,10016297.398
34,BUCKEYE POWER INC,3,1,9421839.57
35,CONSTELLATION ENERGY CORP,9,5,8929938.686
36,CLECO CORPORATE HOLDINGS LLC,7,2,8612058.1581472
37,LOWER COLORADO RIVER AUTHORITY,6,1,8428181.7420778
38,NEBRASKA PUBLIC POWER DISTRICT,4,1,8312557.063999999
39,TRI-STATE GENERATION & TRANSMISSION ASSOC INC,7,4,8262405.5084358
40,EAST KENTUCKY POWER COOPERATIVE INC,4,1,8158933.61
41,OGE ENERGY CORP,9,1,7771285.9518
42,OMAHA PUBLIC POWER DISTRICT,4,1,7767449.699999999
43,REMC ASSETS LP,1,1,7716347.05
44,TECO ENERGY INC,3,1,7516202.62
45,PUGET HOLDINGS LLC,7,2,7340460.139574
46,UNS ENERGY CORP,7,2,7295955.4629595205
47,SEMINOLE ELECTRIC COOPERATIVE INC,2,1,6972461.42
48,ARKANSAS ELECTRIC COOPERATIVE CORP,9,1,6779310.196795
49,MARATHON PETROLEUM CORP,1,1,6633324.474
50,EXXON MOBIL CORP,1,1,5979836.674
