parent_name,parent_intercept
CPN MANAGEMENT LP,-0.2944945704648787
NEXTERA ENERGY INC,-0.19434647323304668
ARCLIGHT ENERGY PARTNERS FUND VII LP,-0.1281854541138083
"LS Power Development, LLC",-0.11690699651378973
CONSTELLATION ENERGY CORP,-0.11387137366075412
Vistra Corp,-0.07762921698507347
ENTERGY CORP,-0.07350020105707758
US GOVERNMENT,-0.06748869083873622
DOMINION ENERGY INC,-0.05890310038614233
CLECO CORPORATE HOLDINGS LLC,-0.04800898852779168
ASSOCIATED ELECTRIC COOPERATIVE INC,-0.047468733173313696
LIGHTSTONE GENERATION LLC,-0.037832338573059725
TECO ENERGY INC,-0.03378692064324846
CPS ENERGY,-0.03210951472597491
THE SOUTHERN CO,-0.030939701189609547
OGLETHORPE POWER CORP,-0.02847949963992091
AES CORP,-0.01602854121537598
OGE ENERGY CORP,-0.00950368328974309
XCEL ENERGY INC,-0.008883354569005106
UNS ENERGY CORP,-0.002950036106152952
TALEN ENERGY CORP,0.004587884578498256
DUKE ENERGY CORP,0.005661366070964432
SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,0.007299078159535509
BUCKEYE POWER INC,0.008418328144181485
LOWER COLORADO RIVER AUTHORITY,0.013651956954518027
SEMINOLE ELECTRIC COOPERATIVE INC,0.016764175979283473
WEC Energy Group Inc,0.020718181106331335
AMEREN CORP,0.021595452178323427
PINNACLE WEST CAPITAL CORP,0.023865824152612982
CMS ENERGY CORP,0.028816620060296637
ARKANSAS ELECTRIC COOPERATIVE CORP,0.03236355798033987
PRAIRIE STATE ENERGY CAMPUS MANAGEMENT CO,0.04211888263233736
NEBRASKA PUBLIC POWER DISTRICT,0.04537924336003272
BASIN ELECTRIC POWER COOPERATIVE,0.04882106255473406
PPL CORP,0.050901794896009225
REMC ASSETS LP,0.05103978319481624
SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,0.052845819064385284
EAST KENTUCKY POWER COOPERATIVE INC,0.05757083264837939
FIRSTENERGY CORP,0.06228204036859877
PUGET HOLDINGS LLC,0.0667326539632568
NRG ENERGY INC,0.06724014856210006
DTE ENERGY CO,0.07546124816422256
OMAHA PUBLIC POWER DISTRICT,0.07634239358899272
TRI-STATE GENERATION & TRANSMISSION ASSOC INC,0.07687471457237087
ALLIANT ENERGY CORP,0.07701668454751415
BERKSHIRE HATHAWAY INC,0.08904625012279271
AMERICAN ELECTRIC POWER CO INC,0.11467381518842434
EVERGY INC,0.18322759611259826
