parent_name,n_facility_years,n_facilities,has_ghgrp_pct,has_cems_pct,has_ct_pct,all_three_pct
CPN MANAGEMENT LP,559,43,0.9856887298747764,0.9964221824686941,0.23076923076923078,0.23076923076923078
Vistra Corp,468,36,1.0,1.0,0.23076923076923078,0.23076923076923078
DUKE ENERGY CORP,468,36,1.0,1.0,0.22435897435897437,0.22435897435897437
BERKSHIRE HATHAWAY INC,442,34,0.997737556561086,0.9796380090497737,0.23076923076923078,0.23076923076923078
THE SOUTHERN CO,338,26,0.985207100591716,0.985207100591716,0.21301775147928995,0.21301775147928995
XCEL ENERGY INC,325,25,1.0,0.9815384615384616,0.23076923076923078,0.22153846153846155
ENTERGY CORP,325,25,0.8923076923076924,0.8923076923076924,0.22153846153846155,0.22153846153846155
AMERICAN ELECTRIC POWER CO INC,312,24,0.9935897435897436,0.9935897435897436,0.22115384615384615,0.22115384615384615
DOMINION ENERGY INC,312,24,0.9519230769230769,0.9262820512820513,0.23076923076923078,0.23076923076923078
"LS Power Development, LLC",286,22,0.9895104895104895,0.9895104895104895,0.2202797202797203,0.2202797202797203
US GOVERNMENT,247,19,1.0,1.0,0.23076923076923078,0.23076923076923078
NEXTERA ENERGY INC,247,19,0.9676113360323887,0.951417004048583,0.23076923076923078,0.23076923076923078
ALLIANT ENERGY CORP,195,15,0.9846153846153847,1.0,0.23076923076923078,0.23076923076923078
ARCLIGHT ENERGY PARTNERS FUND VII LP,182,14,0.9615384615384616,0.9615384615384616,0.23076923076923078,0.23076923076923078
NRG ENERGY INC,169,13,0.9881656804733728,0.9881656804733728,0.1952662721893491,0.1952662721893491
WEC Energy Group Inc,169,13,0.9822485207100592,0.9881656804733728,0.21301775147928995,0.21301775147928995
TALEN ENERGY CORP,169,13,1.0,1.0,0.23076923076923078,0.23076923076923078
EVERGY INC,156,12,0.9935897435897436,1.0,0.23076923076923078,0.23076923076923078
SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,156,12,1.0,1.0,0.23076923076923078,0.23076923076923078
AMEREN CORP,143,11,1.0,1.0,0.23076923076923078,0.23076923076923078
OGLETHORPE POWER CORP,130,10,1.0,1.0,0.23076923076923078,0.23076923076923078
BASIN ELECTRIC POWER COOPERATIVE,130,10,0.9615384615384616,0.9615384615384616,0.23076923076923078,0.23076923076923078
CMS ENERGY CORP,117,9,1.0,1.0,0.23076923076923078,0.23076923076923078
OGE ENERGY CORP,117,9,1.0,0.9316239316239316,0.23076923076923078,0.23076923076923078
DTE ENERGY CO,117,9,0.905982905982906,0.8717948717948718,0.20512820512820512,0.1623931623931624
CONSTELLATION ENERGY CORP,117,9,0.8974358974358975,0.8974358974358975,0.23076923076923078,0.23076923076923078
ARKANSAS ELECTRIC COOPERATIVE CORP,117,9,0.9914529914529915,0.9914529914529915,0.23076923076923078,0.23076923076923078
PINNACLE WEST CAPITAL CORP,104,8,1.0,1.0,0.23076923076923078,0.23076923076923078
AES CORP,104,8,1.0,0.9903846153846154,0.23076923076923078,0.23076923076923078
CLECO CORPORATE HOLDINGS LLC,91,7,1.0,1.0,0.23076923076923078,0.23076923076923078
ASSOCIATED ELECTRIC COOPERATIVE INC,91,7,1.0,1.0,0.23076923076923078,0.23076923076923078
UNS ENERGY CORP,91,7,1.0,1.0,0.23076923076923078,0.23076923076923078
PUGET HOLDINGS LLC,91,7,1.0,0.989010989010989,0.23076923076923078,0.23076923076923078
TRI-STATE GENERATION & TRANSMISSION ASSOC INC,91,7,0.989010989010989,1.0,0.23076923076923078,0.23076923076923078
LOWER COLORADO RIVER AUTHORITY,78,6,1.0,0.9871794871794872,0.23076923076923078,0.23076923076923078
PPL CORP,78,6,1.0,1.0,0.23076923076923078,0.23076923076923078
CPS ENERGY,65,5,1.0,1.0,0.23076923076923078,0.23076923076923078
SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,52,4,1.0,1.0,0.23076923076923078,0.23076923076923078
EAST KENTUCKY POWER COOPERATIVE INC,52,4,1.0,1.0,0.23076923076923078,0.23076923076923078
NEBRASKA PUBLIC POWER DISTRICT,52,4,1.0,1.0,0.23076923076923078,0.23076923076923078
LIGHTSTONE GENERATION LLC,52,4,1.0,1.0,0.23076923076923078,0.23076923076923078
OMAHA PUBLIC POWER DISTRICT,52,4,1.0,1.0,0.23076923076923078,0.23076923076923078
TECO ENERGY INC,39,3,1.0,1.0,0.23076923076923078,0.23076923076923078
BUCKEYE POWER INC,39,3,1.0,1.0,0.23076923076923078,0.23076923076923078
FIRSTENERGY CORP,26,2,1.0,1.0,0.23076923076923078,0.23076923076923078
SEMINOLE ELECTRIC COOPERATIVE INC,26,2,1.0,1.0,0.23076923076923078,0.23076923076923078
MARATHON PETROLEUM CORP,13,1,1.0,1.0,0.23076923076923078,0.23076923076923078
EXXON MOBIL CORP,13,1,1.0,1.0,0.23076923076923078,0.23076923076923078
REMC ASSETS LP,13,1,1.0,1.0,0.23076923076923078,0.23076923076923078
PRAIRIE STATE ENERGY CAMPUS MANAGEMENT CO,13,1,1.0,0.9230769230769231,0.23076923076923078,0.23076923076923078
