facility_id,year,facility_name,state,city,county,lat,lon,parent_name,ownership_share,co2_ghgrp_metric,attributed_co2_ghgrp_metric,co2_cems_metric,cems_n_oris_codes,gross_load_mwh,heat_input_mmbtu,has_cems,co2_ct_metric,n_ct_assets,mean_match_distance_km,has_ct,n_sources,is_clustered
1001444,2011,AES Alamitos,CA,LONG BEACH,Los Angeles,33.7688,-118.1009,AES CORP,1.0,693852.344,693852.344,693213.7150635,1.0,1086571.0,12860112.0,True,,,,False,2,False
1001447,2011,AES Huntington Beach,CA,HUNTINGTON BEACH,Orange,33.6436,-117.9788,AES CORP,1.0,661647.948,661647.948,660968.5499865001,1.0,1141265.0,12261920.2,True,,,,False,2,False
1001450,2011,AES Redondo Beach,CA,REDONDO BEACH,Los Angeles,33.8504,-118.395,AES CORP,1.0,314013.496,314013.496,313694.231091,1.0,492288.0,5819404.600000001,True,,,,False,2,False
1001223,2011,AES Warrior Run,MD,CUMBERLAND,Allegany,39.5944,-78.7456,AES CORP,1.0,1487364.736,1487364.736,1475270.445795105,1.0,1386284.72,15857479.969,True,,,,False,2,False
1001423,2011,APS Saguaro Power Plant,AZ,RED ROCK,Pinal,32.5517,-111.3,PINNACLE WEST CAPITAL CORP,1.0,7065.472,7065.472,6621.1178452350005,1.0,9236.88,122813.868,True,,,,False,2,False
1001422,2011,APS West Phoenix Power Plant,AZ,PHOENIX,Maricopa,33.4417,-112.1583,PINNACLE WEST CAPITAL CORP,1.0,779316.104,779316.104,605439.7924239,1.0,1466889.6,11230001.921999998,True,,,,False,2,False
1001347,2011,Acadia Power Station,LA,EUNICE,Acadia,30.4284,-92.4112,ENTERGY CORP,0.5,1323701.996,661850.998,1322345.1336423,1.0,3421448.54,24527448.608,True,,,,False,2,False
1001347,2011,Acadia Power Station,LA,EUNICE,Acadia,30.4284,-92.4112,CLECO CORPORATE HOLDINGS LLC,0.5,1323701.996,661850.998,1322345.1336423,1.0,3421448.54,24527448.608,True,,,,False,2,False
1000125,2011,Ackerman Combined Cycle,MS,ACKERMAN,Choctaw,33.38,-89.2091,US GOVERNMENT,1.0,705165.288,705165.288,704241.213705105,1.0,1981471.37,13062573.368,True,,,,False,2,True
1007206,2011,Agua Fria Generating Station,AZ,GLENDALE,Maricopa,33.5542,-112.2161,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,1.0,33352.828,33352.828,30824.98147446,1.0,54417.06999999999,569337.968,True,,,,False,2,False
1000916,2011,Allen,TN,MEMPHIS,Shelby,35.0742,-90.1439,US GOVERNMENT,1.0,4473702.626,4473702.626,4436569.18435752,1.0,5127185.819999999,46893080.071,True,,,,False,2,False
1000691,2011,Allen S King,MN,OAK PARK HEIGHTS,Washington,45.03,-92.7786,XCEL ENERGY INC,1.0,3322883.796,3322883.796,3303081.726946425,1.0,3750219.74,34716105.587,True,,,,False,2,False
1007246,2011,Anclote Power Plant,FL,HOLIDAY,Pasco,28.1844,-82.7887,DUKE ENERGY CORP,1.0,1177230.998,1177230.998,1175543.60237403,1.0,1757701.69,20823590.252,True,,,,False,2,False
1001097,2011,Angus Anson,SD,SIOUX FALLS,Minnehaha,43.6033,-96.6369,XCEL ENERGY INC,1.0,38270.344,38270.344,38098.405250835,1.0,59684.34,701322.512,True,,,,False,2,False
1001055,2011,Antelope Valley,ND,BEULAH,Mercer,47.3714,-101.8344,BASIN ELECTRIC POWER COOPERATIVE,1.0,5993366.822,5993366.822,5948149.219897725,1.0,5719263.73,60225131.475,True,,,,False,2,False
1005709,2011,"Armstrong Power, LLC",PA,SHELOCTA,Armstrong,40.6383,-79.3503,"LS Power Development, LLC",1.0,85781.432,85781.432,85693.51519524,1.0,151426.16999999998,1589317.33,True,,,,False,2,True
1001609,2011,Arsenal Hill Power Plant,LA,SHREVEPORT,Caddo,32.5181,-93.7611,AMERICAN ELECTRIC POWER CO INC,1.0,1182087.568,1182087.568,1180875.064208895,1.0,2282876.5,21903447.983000003,True,,,,False,2,False
1000759,2011,Arthur Kill,NY,Staten Island,Richmond,40.5915,-74.2027,ARCLIGHT ENERGY PARTNERS FUND VII LP,1.0,971461.25,971461.25,959652.54342675,1.0,1695409.25,17813952.95,True,,,,False,2,True
1007180,2011,Asheville Steam Electric Plant,NC,ARDEN,Buncombe,35.4714,-82.5431,DUKE ENERGY CORP,1.0,1740156.864,1740156.864,1726320.642386625,1.0,1983859.25,18750168.95,True,,,,False,2,False
