Category,Column name,Description
Identification,Last_updated,
,ID_Code,Internal Net Zero Tracker identification code.
,ISIN_ID,An ISIN (International Securities Identification Number) is a 12-character alphanumeric code that uniquely identifies publicly listed companies.
,Website,The official name of the entity.
,Climactor_ID,"The country the entity is located, in ISO-3 (ISO 3166-1). For companies, this refers to the country of their headquarters."
,LEI,
Entity type and location,Name,
,Country,
,Geographic_region,
,Entity_type,
,Private_company,
,Centroid_X,
,Centroid_Y,
End target information,End_target,Whether the entity is a member of the Race to Zero campaign [Yes / No]
,End_target_percentage_reduction,How the entity describes its end net zero or mitigation target.
,End_target_baseline_year,The percentage reduction in emissions aimed for by the end target year.
,End_target_year,The reference year against which end target emission reductions are measured.
,Status_of_end_target,The year the end net zero or mitigation targets is to be achieved.
,Date_of_last_status_update,The current status of the end target. [Achieved (externally validated); Achieved (self-declared); In law; In policy document; In corporate strategy; Declaration / pledge; Proposed / in discussion]
,End_target_text,Year when the current target status was reached.
,End_target_source_url,A textual description of the end net zero or mitigation target.
Interim target information,Interim_target,A website link to the official source of the end net zero or mitigation target.
,Interim_target_year,A near-term emissions reduction target set before the end target year.
,Interim_target_percentage_reduction,The year the interim target is to be achieved.
,Interim_target_baseline_year,The percentage reduction in emissions aimed for by the interim target year.
,Interim_target_text,The reference year against which interim target emission reductions are measured.
,Targets_notes,A textual description of the interim target(s).
End target integrity indicators,GHGs_covered,"Additional details of interim and end targets, including archived links to sources."
,Scope_1_coverage,"The greenhouse gases covered by the target [CO₂ only, CO₂ and other GHGs, Not specified]"
,Scope_2_coverage,Whether the entity covers emissions from owned or controlled sources. [Yes / No / Not specified]
,Scope_3_coverage,"Whether the entity covers emissions from purchased electricity, steam, heating, and cooling. [Yes / No / Not specified]"
,Coverage_notes,"Whether the entity covers all other emissions in the value chain, including upstream and downstream activities. [Yes / No / Not specified]"
,Published_plan,Additional details about the scope of emissions coverage.
,Published_plan_measures,Whether the entity has a published plan to meet its end net zero or mitigation target [Yes / No]
,Reporting_mechanism,"Details of the published plan, asking whether the entity has specified: (i) Measures or steps that will be taken for all emission scopes that are covered by the target (ii) Information on the emission reductions expected from these measures within a certain time period (iii) Information on the extent to which measures/steps will be taken (e.g. if switching to electric vehicles) (iv) A schedule for regular reviews of measures."
,International_equity_just_transition,"Whether there is a reporting on progress toward net-zero goals. [No reporting mechanism, Less frequently than annually, Annual reporting]"
,Accountability_delivery,"Considerations of 'fair share' responsibility for mitigation or just transition principles. May refer to: - Equity between countries, for example a statement about how the entity's targets contributes to their fair share of the global carbon budget. - Equity across different groups in society (e.g. a reference to the rights of communities, or a just transition for workers in fossil fuel intensive sectors)."
,Governance_notes,Whether any of the leadership of the entity is formally accountable for delivery on the target.
,Carbon_credits,Additional details about the governance aspects of the end net zero or mitigation target.
,Carbon_credits_conditions,"Does the target allow for traded carbon credits (offsets) from outside the entities' territory / value chain to meet the target? [Yes, No, Not specified]"
,Max_emission_offset,Whether the entity specifies conditions on the trading of carbon credits (offsets)? Categories: - No conditions specified - Must be high environmental integrity - Avoid social harm - Avoid biodiversity harm - Not include avoided emissions (e.g. via renewable energy projects) - Not include emissions reductions (e.g. via greater efficiency) - Not include biological sequestration (e.g. via afforestation) - Maximum % of emissions that can be offset - Other conditions
,Carbon_credits_conditions_other,"If 'Maximum % of emissions that can be offset' specified, the percentage value (0-100)."
,Separate_removal_target,Details of other carbon credit conditions.
,Planning_removals,Whether the entity has separate targets for emission reductions and removals. [Yes / No]
,Removals_and_credits_notes,"Whether the entity uses or plans to use carbon dioxide removal (CDR) within its target boundary (i.e. not external offsets)? - No - Yes (unspecified) - Yes (nature-based removals e.g. Forestation, soil carbon enhancement) - Yes (CCS-based removals e.g. BECCS, DACCS) - Yes (nature-based and CCS-based removals) - Not specified"
,Territorial_emissions,Additional details about the use of carbon credits or removals in the end net zero or mitigation target.
,Consumption_emissions,"Whether the end target covers all 'territorial emissions'. Sometimes called production emissions, territorial emissions are those generated within a city or state's boundaries. [Yes, No, Not specified]"
,International_aviation,"Whether the end target covers 'consumption emissions'. This include 'embodied emissions' in goods that are imported from outside the country, city or state's boundaries. [Yes, No, Not specified]"
,International_shipping,"Whether the end target covers international aviation i.e. flights coming to / leaving the country. [Yes, No, Not specified]"
,Historical_emissions,"Whether the end target covers international shipping i.e. ships coming to / leaving the country. [Yes, No, Not specified]"
Contextual data,Race_to_zero_member,Whether the end target scope includes a goal to neutralise all historical emissions ever emitted by the entity.
,GDP,The entity's Gross Domestic Product (GDP) in Purchasing Power Parity (PPP) — 2021 USD for countries; 2017 USD for regions and cities (where available).
,GDP_year,The corresponding year of the GDP variable.
,Population,"The population of the entity (for countries, regions, or cities)."
,Population_year,The corresponding year of the Population variable.
,Company_annual_revenue,The total revenue generated by the entity in the most recent recorded year.
,Industry,"The broad industry classification of the entity [Apparel; Biotech, Health Care & Pharma; Food, Beverage & Agriculture; Fossil Fuels; Hospitality; Infrastructure; Manufacturing; Materials; Power Generation; Retail; Services; Transportation Services]"
,Employees,The number of employees working for the company.
