parent_name,cik,match_method
Vistra Corp,0001692819,override
THE SOUTHERN CO,0000092122,override
DUKE ENERGY CORP,0001326160,exact
BERKSHIRE HATHAWAY INC,0001067983,exact
AMERICAN ELECTRIC POWER CO INC,0000004904,exact
CPN MANAGEMENT LP,,blocked:do_not_match
NEXTERA ENERGY INC,0000753308,exact
US GOVERNMENT,,blocked:do_not_match
ENTERGY CORP,0000065984,override
XCEL ENERGY INC,0000072903,exact
DOMINION ENERGY INC,0000715957,exact
PPL CORP,0000922224,exact
EVERGY INC,0001711269,exact
DTE ENERGY CO,0000936340,exact
NRG ENERGY INC,0001013871,exact
AMEREN CORP,0001002910,exact
LIGHTSTONE GENERATION LLC,,blocked:do_not_match
BASIN ELECTRIC POWER COOPERATIVE,,blocked:do_not_match
WEC Energy Group Inc,0000783325,exact
CMS ENERGY CORP,0000811156,exact
SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,,blocked:do_not_match
ASSOCIATED ELECTRIC COOPERATIVE INC,,blocked:do_not_match
FIRSTENERGY CORP,0001031296,exact
SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,,blocked:do_not_match
ALLIANT ENERGY CORP,0000352541,exact
AES CORP,0000874761,exact
PRAIRIE STATE ENERGY CAMPUS MANAGEMENT CO,,blocked:do_not_match
"LS Power Development, LLC",,blocked:do_not_match
CPS ENERGY,,blocked:do_not_match
PINNACLE WEST CAPITAL CORP,0000764622,exact
TALEN ENERGY CORP,0001622536,exact
ARCLIGHT ENERGY PARTNERS FUND VII LP,,blocked:do_not_match
OGLETHORPE POWER CORP,,blocked:do_not_match
BUCKEYE POWER INC,,blocked:do_not_match
CONSTELLATION ENERGY CORP,0001868275,exact
CLECO CORPORATE HOLDINGS LLC,,blocked:do_not_match
LOWER COLORADO RIVER AUTHORITY,,blocked:do_not_match
NEBRASKA PUBLIC POWER DISTRICT,,blocked:do_not_match
TRI-STATE GENERATION & TRANSMISSION ASSOC INC,,blocked:do_not_match
EAST KENTUCKY POWER COOPERATIVE INC,,blocked:do_not_match
OGE ENERGY CORP,0001021635,exact
OMAHA PUBLIC POWER DISTRICT,,blocked:do_not_match
REMC ASSETS LP,,blocked:do_not_match
TECO ENERGY INC,0001022909,override
PUGET HOLDINGS LLC,,blocked:do_not_match
UNS ENERGY CORP,,blocked:do_not_match
SEMINOLE ELECTRIC COOPERATIVE INC,,blocked:do_not_match
ARKANSAS ELECTRIC COOPERATIVE CORP,,blocked:do_not_match
MARATHON PETROLEUM CORP,0001510295,exact
EXXON MOBIL CORP,0000034088,exact
