parent_name,n_years,first_mt,last_mt,total_pct_change,slope_mt_per_yr,slope_ci_lo,slope_ci_hi,pct_per_yr,direction,slope_significant
AMERICAN ELECTRIC POWER CO INC,13,98.41936152945439,48.7846202728486,-50.431887064976934,-3.9040672306048125,-4.616763492258899,-3.315824699588065,-5.499859670010058,decarbonizing,True
US GOVERNMENT,13,70.410454802,38.026818262999996,-45.99265354849001,-3.171445532065826,-3.9309164193874873,-2.745162015498707,-5.970283269399525,decarbonizing,True
NRG ENERGY INC,13,58.96542715700001,21.73314953004,-63.14255559927717,-2.926447423385812,-3.749592174175709,-2.307141935623677,-7.67559612299589,decarbonizing,True
DUKE ENERGY CORP,13,102.253059762558,72.06160124166719,-29.526215245781827,-2.5780425517907646,-3.478471891541233,-1.970547948465986,-2.858175479887755,decarbonizing,True
TALEN ENERGY CORP,13,34.884552716372,10.4787748311292,-69.96156173671876,-2.1352748932037464,-2.649681413306364,-1.8690049795449868,-9.68483346911511,decarbonizing,True
XCEL ENERGY INC,13,52.2417034916926,35.2490254066756,-32.527036733630155,-1.5430771929196052,-1.9723994025173244,-1.232937704668154,-3.447654870043152,decarbonizing,True
BERKSHIRE HATHAWAY INC,13,66.8987203688486,49.3842496993898,-26.18057650862694,-1.5341951465110502,-2.0405778456124053,-1.0559782888759826,-2.4731677881560152,decarbonizing,True
EVERGY INC,13,39.489334067544,22.924449750780003,-41.94774287262179,-1.4649548345335348,-1.7994146486779772,-1.2205495488993188,-4.683976736462765,decarbonizing,True
THE SOUTHERN CO,13,93.8378968742696,75.8617556183456,-19.15659009281683,-1.4001925485029019,-2.0062389024870484,-0.8897716243562902,-1.6234161215885647,decarbonizing,True
OGE ENERGY CORP,13,23.088919758879996,7.7712859517999995,-66.34192490183017,-1.2913441733705102,-1.4025730254853799,-1.2023136934097367,-8.341914351144824,decarbonizing,True
Vistra Corp,13,96.249922612,85.93720417200001,-10.71452127974413,-1.271111582780166,-1.793754397780118,-0.9357758832654662,-1.4055885446727303,decarbonizing,True
DTE ENERGY CO,13,33.97765011,21.935698012,-35.44080317212967,-0.891305781505464,-1.1765900297624634,-0.617281522915434,-3.068727214650931,decarbonizing,True
