parent,has_corpus,n_chars,n_tokens_approx
FIRSTENERGY CORP,True,250956,62739
WEC Energy Group Inc,True,217187,54296
AES CORP,True,215247,53811
AMEREN CORP,True,189510,47377
CMS ENERGY CORP,True,180517,45129
CONSTELLATION ENERGY CORP,True,165208,41302
Vistra Corp,True,150879,37719
ENTERGY CORP,True,136139,34034
MARATHON PETROLEUM CORP,True,133795,33448
ALLIANT ENERGY CORP,True,126279,31569
DUKE ENERGY CORP,True,99109,24777
DTE ENERGY CO,True,98661,24665
EVERGY INC,True,93972,23493
NEXTERA ENERGY INC,True,91786,22946
PINNACLE WEST CAPITAL CORP,True,90571,22642
AMERICAN ELECTRIC POWER CO INC,True,69081,17270
THE SOUTHERN CO,True,56250,14062
PPL CORP,True,49074,12268
TALEN ENERGY CORP,True,46041,11510
EXXON MOBIL CORP,True,37077,9269
OGE ENERGY CORP,True,24669,6167
UNS ENERGY CORP,True,15823,3955
BERKSHIRE HATHAWAY INC,True,11661,2915
DOMINION ENERGY INC,True,8546,2136
NRG ENERGY INC,True,2212,553
XCEL ENERGY INC,True,1143,285
TRI-STATE GENERATION & TRANSMISSION ASSOC INC,False,0,0
EAST KENTUCKY POWER COOPERATIVE INC,False,0,0
PUGET HOLDINGS LLC,False,0,0
OMAHA PUBLIC POWER DISTRICT,False,0,0
REMC ASSETS LP,False,0,0
TECO ENERGY INC,False,0,0
LOWER COLORADO RIVER AUTHORITY,False,0,0
SEMINOLE ELECTRIC COOPERATIVE INC,False,0,0
ARKANSAS ELECTRIC COOPERATIVE CORP,False,0,0
NEBRASKA PUBLIC POWER DISTRICT,False,0,0
US GOVERNMENT,False,0,0
CLECO CORPORATE HOLDINGS LLC,False,0,0
BUCKEYE POWER INC,False,0,0
OGLETHORPE POWER CORP,False,0,0
ARCLIGHT ENERGY PARTNERS FUND VII LP,False,0,0
"LS Power Development, LLC",False,0,0
PRAIRIE STATE ENERGY CAMPUS MANAGEMENT CO,False,0,0
SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,False,0,0
ASSOCIATED ELECTRIC COOPERATIVE INC,False,0,0
SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT,False,0,0
CPN MANAGEMENT LP,False,0,0
BASIN ELECTRIC POWER COOPERATIVE,False,0,0
LIGHTSTONE GENERATION LLC,False,0,0
CPS ENERGY,False,0,0
