cik,accession,primary_doc,filing_date,report_date,doc_url,parent_name
0001692819,0001692819-26-000006,vistra-20251231.htm,2026-02-27,2025-12-31,https://www.sec.gov/Archives/edgar/data/1692819/000169281926000006/vistra-20251231.htm,Vistra Corp
0000092122,0000092122-26-000006,so-20251231.htm,2026-02-19,2025-12-31,https://www.sec.gov/Archives/edgar/data/92122/000009212226000006/so-20251231.htm,THE SOUTHERN CO
0001326160,0001326160-26-000014,duk-20251231.htm,2026-02-26,2025-12-31,https://www.sec.gov/Archives/edgar/data/1326160/000132616026000014/duk-20251231.htm,DUKE ENERGY CORP
0001067983,0001193125-26-083899,brka-20251231.htm,2026-03-02,2025-12-31,https://www.sec.gov/Archives/edgar/data/1067983/000119312526083899/brka-20251231.htm,BERKSHIRE HATHAWAY INC
0000004904,0000004904-26-000013,aep-20251231.htm,2026-02-12,2025-12-31,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,AMERICAN ELECTRIC POWER CO INC
0000753308,0000753308-26-000015,nee-20251231.htm,2026-02-13,2025-12-31,https://www.sec.gov/Archives/edgar/data/753308/000075330826000015/nee-20251231.htm,NEXTERA ENERGY INC
0000065984,0000065984-26-000174,etr-20251231.htm,2026-02-19,2025-12-31,https://www.sec.gov/Archives/edgar/data/65984/000006598426000174/etr-20251231.htm,ENTERGY CORP
0000072903,0000072903-26-000009,xel-20251231.htm,2026-02-25,2025-12-31,https://www.sec.gov/Archives/edgar/data/72903/000007290326000009/xel-20251231.htm,XCEL ENERGY INC
0000715957,0001193125-26-063120,d-20251231.htm,2026-02-23,2025-12-31,https://www.sec.gov/Archives/edgar/data/715957/000119312526063120/d-20251231.htm,DOMINION ENERGY INC
0000922224,0000922224-26-000008,ppl-20251231.htm,2026-02-20,2025-12-31,https://www.sec.gov/Archives/edgar/data/922224/000092222426000008/ppl-20251231.htm,PPL CORP
0001711269,0001711269-26-000017,evrg-20251231.htm,2026-02-19,2025-12-31,https://www.sec.gov/Archives/edgar/data/1711269/000171126926000017/evrg-20251231.htm,EVERGY INC
0000936340,0000936340-26-000054,dte-20251231.htm,2026-02-17,2025-12-31,https://www.sec.gov/Archives/edgar/data/936340/000093634026000054/dte-20251231.htm,DTE ENERGY CO
0001013871,0001013871-26-000004,nrg-20251231.htm,2026-02-24,2025-12-31,https://www.sec.gov/Archives/edgar/data/1013871/000101387126000004/nrg-20251231.htm,NRG ENERGY INC
0001002910,0001002910-26-000009,aee-20251231.htm,2026-02-18,2025-12-31,https://www.sec.gov/Archives/edgar/data/1002910/000100291026000009/aee-20251231.htm,AMEREN CORP
0000783325,0000783325-26-000018,wec-20251231.htm,2026-02-20,2025-12-31,https://www.sec.gov/Archives/edgar/data/783325/000078332526000018/wec-20251231.htm,WEC Energy Group Inc
0000811156,0000811156-26-000004,cms-20251231.htm,2026-02-10,2025-12-31,https://www.sec.gov/Archives/edgar/data/811156/000081115626000004/cms-20251231.htm,CMS ENERGY CORP
0001031296,0001031296-26-000046,fe-20251231.htm,2026-02-18,2025-12-31,https://www.sec.gov/Archives/edgar/data/1031296/000103129626000046/fe-20251231.htm,FIRSTENERGY CORP
0000352541,0000352541-26-000007,lnt-20251231.htm,2026-02-20,2025-12-31,https://www.sec.gov/Archives/edgar/data/352541/000035254126000007/lnt-20251231.htm,ALLIANT ENERGY CORP
0000874761,0000874761-26-000063,aes-20251231.htm,2026-03-02,2025-12-31,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/aes-20251231.htm,AES CORP
0000764622,0000764622-26-000011,pnw-20251231.htm,2026-02-25,2025-12-31,https://www.sec.gov/Archives/edgar/data/764622/000076462226000011/pnw-20251231.htm,PINNACLE WEST CAPITAL CORP
0001622536,0001622536-26-000017,tln-20251231.htm,2026-02-26,2025-12-31,https://www.sec.gov/Archives/edgar/data/1622536/000162253626000017/tln-20251231.htm,TALEN ENERGY CORP
0001868275,0001868275-26-000032,ceg-20251231.htm,2026-02-24,2025-12-31,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,CONSTELLATION ENERGY CORP
0001021635,0001193125-26-055414,oge-20251231.htm,2026-02-18,2025-12-31,https://www.sec.gov/Archives/edgar/data/1021635/000119312526055414/oge-20251231.htm,OGE ENERGY CORP
0001510295,0001510295-26-000009,mpc-20251231.htm,2026-02-26,2025-12-31,https://www.sec.gov/Archives/edgar/data/1510295/000151029526000009/mpc-20251231.htm,MARATHON PETROLEUM CORP
0000034088,0000034088-26-000045,xom-20251231.htm,2026-02-18,2025-12-31,https://www.sec.gov/Archives/edgar/data/34088/000003408826000045/xom-20251231.htm,EXXON MOBIL CORP
