State,Facility Name,Facility ID,Unit ID,unit_id,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
AL,Barry,3,1,1,CS0AAN,2011,5741,5728.25,344240.0,,1318.526,0.8129,313140.535,0.103,746.898,0.4821,3052056.025,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Barry,3,2,2,CS0AAN,2011,3627,3617.5,213832.75,,950.089,0.849,224317.022,0.103,522.154,0.4911,2186324.75,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Barry,3,3,3,CS0AAN,2011,5636,5616.5,814363.75,,3501.089,0.8509,835789.393,0.103,2108.617,0.5205,8146111.1,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Barry,3,4,4,"MS4A, MS4B",2011,5444,5416.5,1244069.5,,5579.821,1.1502,1160876.45,0.1026,1703.829,0.3043,11314627.625,Coal,Pipeline Natural Gas,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Barry,3,5,5,"MS5C, MS5D, MS5E",2011,4760,4747.5,2461503.0,,271.863,0.0481,2409519.9,0.103,900.099,0.0775,23484588.775,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Barry,3,6A,6,,2011,8086,8060.0,2005953.0,,4.428,0.001,877204.725,0.059,67.065,0.0094,14760644.175,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Barry,3,6B,7,,2011,7844,7798.5,2087632.0,,4.247,0.001,841274.175,0.0588,70.485,0.0104,14156028.275,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Barry,3,7A,8,,2011,7854,7824.75,2010449.75,,4.06,0.001,804201.55,0.059,61.86,0.0095,13532223.825,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Barry,3,7B,9,,2011,8058,8023.5,1684331.75,,4.156,0.001,823197.375,0.059,64.275,0.0097,13851922.975,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners|Selective Catalytic Reduction,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Gadsden,7,1,11,CS0BAN,2011,8402,8395.75,,2232187.0,3247.561,2.1348,303172.252,0.1024,720.49,0.4783,2966770.65,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,,,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Gadsden,7,2,12,CS0BAN,2011,1829,1824.0,,479848.0,654.646,2.0324,62084.598,0.0995,148.26,0.4615,625464.2,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,,,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Gorgas,8,10,13,CS0DCN,2011,6106,6086.5,3587835.75,,1029.53,0.0556,3636668.168,0.103,3607.384,0.213,35445130.325,Coal,Diesel Oil,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Gorgas,8,6,15,CS0DAN,2011,3505,3489.0,263898.75,,3815.088,2.8176,271202.533,0.1027,600.42,0.4395,2643324.375,Coal,Diesel Oil,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Gorgas,8,7,16,CS0DAN,2011,3820,3808.5,294458.25,,4475.4,2.8475,317610.82,0.103,702.777,0.4527,3095633.45,Coal,Diesel Oil,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Gorgas,8,8,17,CS0DCN,2011,5569,5562.25,574236.5,,177.998,0.0742,591168.976,0.1029,655.726,0.2218,5761895.025,Coal,Diesel Oil,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Gorgas,8,9,18,CS0DCN,2011,6231,6220.25,617916.75,,186.766,0.0515,640331.81,0.103,769.723,0.2356,6241064.5,Coal,Diesel Oil,Tangentially-fired,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TX,Copper Station,9,CTG-1,90211,,2011,3118,3055.63,43347.0,,0.256,0.001,,,100.423,0.1283,853101.449,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"CAIRNOX, CAIRSO2"
AL,Greene County,10,1,19,CS0EBN,2011,8444,8432.75,1514647.25,,18110.796,2.3272,1601363.234,0.1025,2770.672,0.3528,15607889.2,Coal,"Diesel Oil, Pipeline Natural Gas",Cell burner boiler,,Low NOx Cell Burner|Overfire Air,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Greene County,10,2,20,CS0EBN,2011,5708,5688.75,1066425.5,,11829.249,2.2447,1079248.641,0.103,1881.815,0.3586,10519011.45,Coal,Diesel Oil,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only)|Overfire Air,Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Greene County,10,CT10,21,,2011,149,135.5,9794.25,,0.331,0.0084,8121.4,0.0993,5.074,0.0814,125114.25,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Greene County,10,CT2,22,,2011,173,155.25,10817.0,,0.538,0.0064,9109.789,0.11,4.78,0.0668,141778.5,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Greene County,10,CT3,23,,2011,195,170.25,11555.25,,0.09,0.0025,9844.404,0.1167,4.945,0.066,150974.125,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Greene County,10,CT4,24,,2011,119,105.5,7238.75,,1.083,0.0249,6404.508,0.121,3.368,0.0721,94866.125,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
AL,Greene County,10,CT5,25,,2011,135,116.0,7837.75,,0.716,0.0156,6841.282,0.1076,3.182,0.0654,101131.45,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
