"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"AL","Barry",3,"1",1,"CS0AAN",2012,2941,2934.25,168664.75,,573.594,0.7979,136584.417,0.1029,261.697,0.3672,1331233.65,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"2",2,"CS0AAN",2012,2439,2431.75,140883.25,,554.713,0.682,151505.453,0.103,254.641,0.3356,1476653.35,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"3",3,"CS0AAN",2012,3615,3604,538892.5,,2911.269,0.9841,597437.355,0.103,1299.795,0.453,5823001.325,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"4",4,"MS4A, MS4B",2012,4777,4763,1200832.5,,6336.538,0.9698,1284533.55,0.1029,1923.734,0.3146,12519851.025,"Coal","Pipeline Natural Gas","Tangentially-fired",,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"5",5,"MS5C, MS5D, MS5E",2012,6348,6330.25,3693631.5,,337.359,0.0206,3821950.375,0.103,1483.123,0.0853,37250981,"Coal","Pipeline Natural Gas","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"6A",6,,2012,8111,8099.75,2023334.75,,4.25,0.001,841903.7,0.059,59.943,0.009,14166659.725,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"6B",7,,2012,8093,8074.75,2163353.75,,4.305,0.001,852685.225,0.059,57.416,0.0086,14348045.3,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"7A",8,,2012,8345,8332,2216116.75,,4.408,0.001,873210.775,0.059,62.845,0.0092,14693495.5,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Barry",3,"7B",9,,2012,8226,8197.25,1986607.5,,4.312,0.001,854095.275,0.059,66.134,0.01,14371830.375,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Gadsden",7,"1",11,"CS0BAN",2012,7555,7548,,1975861.5,627.956,0.4202,164509.704,0.0686,210.987,0.1593,2333314.875,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,,"Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Gadsden",7,"2",12,"CS0BAN",2012,2415,2406,,560244.75,315.056,0.6729,54000.521,0.0692,79.663,0.1827,753797.575,"Coal","Diesel Oil, Pipeline Natural Gas","Tangentially-fired",,,"Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Gorgas",8,"10",13,"CS0DCN",2012,3836,3820.25,2374379.75,,496.67,0.0405,2245226.549,0.103,1932.862,0.1812,21883315.625,"Coal","Diesel Oil","Tangentially-fired","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Gorgas",8,"6",15,"CS0DAN",2012,920,916.5,61665.25,,996.948,2.6888,75078.988,0.1025,162.129,0.4335,731779.875,"Coal","Diesel Oil","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"AL","Gorgas",8,"7",16,"CS0DAN",2012,1397,1393.75,108088,,1579.864,2.6506,120310.762,0.103,253.117,0.4273,1172609.075,"Coal","Diesel Oil","Dry bottom wall-fired boiler",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"ARP, CAIRNOX, CAIROS, CAIRSO2"
